Youtube link,Product,Crop,Region,Language,Product Code,Month
https://www.youtube.com/watch?v=E8wmNJGXZNc,Shriram Super 7711,Paddy,Bihar,Hindi,7711006RP,9
https://www.youtube.com/watch?v=iLvpbyJnVFA,Shriram Super 4466,Paddy,Bihar,Hindi,4466005RP,9
https://www.youtube.com/watch?v=-x9rL0gnHUk,Shriram Super 7711,Paddy,Uttar Pradesh,Hindi,7711006RP,9
https://www.youtube.com/watch?v=Am7KevrIa8Y,Shriram 7211-2 BG II,Cotton,Maharashtra,Marathi,#N/A,#N/A
https://www.youtube.com/watch?v=bv6UyH020ZM,Shriram 7211-2 BG II,Cotton,Madhya Pradesh,Marathi,#N/A,#N/A
https://www.youtube.com/watch?v=uJJ32v2r8XU,Shriram 412,Cotton,Maharashtra,Kannada,412X028HY,9
https://www.youtube.com/watch?v=ZyyHULl_8p4,Shriram 412,Cotton,Maharashtra,Hindi,412X028HY,9
https://www.youtube.com/watch?v=ievjAG5GltA,Shriram 611,Cotton,Madhya Pradesh,Telugu,#N/A,#N/A
https://www.youtube.com/watch?v=unNCko8OzJ0,Shriram 611,Cotton,Madhya Pradesh,Kannada,#N/A,#N/A
https://www.youtube.com/watch?v=JckLC3PnVkk,Shriram 412,Cotton,Maharashtra,Marathi,412X028HY,9
https://www.youtube.com/watch?v=qDEobEcRp_w,Shriram 412,Cotton,Gujarat,Gujarati,412X028HY,9
https://www.youtube.com/watch?v=8POpMnXPKU0,Shriram 412,Cotton,Gujarat,Gujarati,412X028HY,9
https://www.youtube.com/watch?v=ZBFGNarcw5A,Shriram Dripit Vegetables - Grade I,Capsicum,Rajasthan,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=i7x6kgbcNKo,Shriram Dripit Vegetables - Grade I,Cucumber,Rajasthan,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=26kjsn6HUCc&t=1s,Shriram Super 3-SR-72,Wheat,Uttar Pradesh,Hindi,SR72008RW,9
https://www.youtube.com/watch?v=Rc20flENJIk&pp=0gcJCX4JAYcqIYzv,Shriram Super 3-SR-72,Wheat,Rajasthan,Hindi,SR72008RW,9
https://www.youtube.com/watch?v=v1zM21QRF1M&pp=0gcJCX4JAYcqIYzv,Shriram Saloni,Pea,Rajasthan,Hindi,SALO046VS,9
https://www.youtube.com/watch?v=7buKWdzBAZE,Shriram Saloni,Pea,Rajasthan,Hindi,SALO046VS,9
https://www.youtube.com/watch?v=pfoCil5DpSg,Shriram 9660,Maize,Maharashtra,Marathi,9660010HY,9
https://www.youtube.com/watch?v=Su5zjzqDsws,Shriram Dripit Vegetables - Grade I,Tomato,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=YTDGW88lVOA,Shriram 1666,Mustard,All India,Hindi,1666018HY,9
https://www.youtube.com/watch?v=32zvlRVIG-k,Shriram Dripit Vegetables - Grade I,Cucumber,Karnataka,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=rou3blXC5tk,Shriram Saloni,Pea,Punjab,Punjabi,SALO046VS,9
https://www.youtube.com/watch?v=jGt6kJkHrXc,Shriram Dripit Vegetables - Grade I,Cucumber,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=bQKBqfzt5bo,Shriram 2372,Tomato,Punjab,Punjabi,2372011VS,9
https://www.youtube.com/watch?v=xYQoQzji46g,Shriram Dripit Vegetables - Grade I,Watermelon,Gujarat,Gujarati,DRV1010PN,9
https://www.youtube.com/watch?v=oyHW8hs2z_g,Shriram 822,Cabbage,Punjab,Hindi,822X031VS,9
https://www.youtube.com/watch?v=C57rHOYcz3A,Shriram 1666,Mustard,Haryana,Hindi,1666018HY,9
https://www.youtube.com/watch?v=H5jf1-acops,Shriram 1666,Mustard,Haryana,Hindi,1666018HY,9
https://www.youtube.com/watch?v=kHrBXWkPFdg,Shriram Dripit Vegetables - Grade I,Cucumber,Gujarat,Gujarati,DRV1010PN,9
https://www.youtube.com/watch?v=Rxxt2w7qS7k,Shriram Dripit Vegetables - Grade I,Chilli,Madhya Pradesh,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=EZPq5nbNQOA,Shriram Trexter,Chilli,Gujarat,Gujarati,TREX051CP,9
https://www.youtube.com/watch?v=bZ-sSOvVNVo,Shriram Protobuz,Brinjal,Rajasthan,Hindi,PROT030PN,9
https://www.youtube.com/watch?v=yhGoRu-cNfI,Shriram Calific,Brinjal,All India,Hindi,CALI003PN,9
https://www.youtube.com/watch?v=68DsvzEvKyU,Shriram 2110,Okra,Rajasthan,Hindi,2110018VS,9
https://www.youtube.com/watch?v=IWaRj94hDNY,Shriram Sateer,Maize,Rajasthan,Hindi,SATE053CP,9
