District,Region,Product
ADILABAD,Abohar,1201
AGAR,Agar,131
AGAR MALWA,Agra,1616
AGRA,Ahilyanagar,1666
AHILYANAGAR,Ajmer,"2,4 D Amine Salt 58%"
AHMED NAGAR,Akola,"2,4 D Sodium Salt 80"
AHMEDNAGAR DISTRICT,Aligarh,"2,4,D Ethyl ester 38%"
AJMER,Alwar,2110
AKOLA,Ambikapur,2112
AKOLA DISTRICT,Amritsar,2205
ALIGARH,Anantapur,2209
ALIRAJPUR,Ayodhya,2217
ALLURI SITHARAMA RAJU DISTRICT,Azamgarh,23
ALWAR,Bahraich,234
AMBALA,Balaghat,2372
AMBEDKAR NAGAR,Ballia,331
AMETHI,Banswara,361
AMRAVATI,Baran,371
AMRITSAR,Barasat,412
AMROHA,Bareilly,422
ANAND,Barmer,432
ANANTAPUR,Barpeta,433
ANANTAPURAM,Barwani,453
ANNAMAYYA,Begusarai,456
ANUPGARH,Belagavi,470
ARARIA DISTRICT,Bellary,5001
ARAVALLI,Bhagalpur,5501
ARVALLI,Bharatpur,5505
ASHOKNAGAR,Bhatinda,5511
AURAIYA,Bhavnagar,5580
AURANGABAD,Bhilwara,567 (Safeda)
AYODHYA,Bhinmal,611
AZAMGARH,Bhopal,65
BADAUN,Bilaspur,71
BADER,Burdwan,732
BAGALKOTE,Chapra,734
BAHADURGARH,Chhindwara,734 Gold
BAHRAICH,Chikkaballapur,735
BALAGHAT,Chittorgarh,754 Gold
BALETA,Dausa,7891
BALLARI,Dewas,822
BALLIA,Dhamtari,8860
BALOD,Dhar,8866
BALRAMPUR,Dholpur,8870
BANASKANTHA,Durg,89
BANKA,Etawah,9220
BANKURA,Ferozepur,9660
BANSWARA,Gaya,9662
BARA,Gorakhpur,9698
BARABANKI,Guntur,9700
BARAN,Gurdaspur,9701
BAREILLY,Gwalior,9705
BARMER,Hanumangarh,9718
BARPETA,Hardoi,9865
BARWANI,Hathras,Abha
BASTAR,Hazaribagh,Acriter
BASTI,Himatnagar,Acrius
BATHINDA,Hindaun,Akina
BEAWAR,Hisar,Albela
BEAWARE,Hisar Rbm,Aleksy
BEED DISTRICT,Hoshangabad,Ankita
BEGUSARAI,Indore,Annika
BEHROR,Jabalpur,Atrazine
BELAGAVI,Jaipur,B-70
BELKHADU,Jalandhar,BIKUTA
BELLARY,Jalgaon,Babli
BEMETARA,Jhalawar,Benzo
BEMETRA,Jhansi,Bio 605
BENGALURU,Jhunjhunu,Borky
BENGALURU URBAN,Jind,Bucona
BETUL,Jodhpur,CHRONE
BHADOHI,Junagadh,CROP PROTECTION - TREXTER
BHADRADRI KOTHAGUDEM,Kanpur,Calico
BHADRADRIKOTHAGUDEM,Karimnagar,Calific
BHAGALPUR,Karnal,Carbo
BHARATPUR,Katni,Cartap 4G
BHARUCH,Khairthal,Cartap 50 SP
BHATINDA,Khammam,Carzeb
BHAVNAGAR,Khandwa,Charu Super
BHILWARA,Khargone,Chlor Plus
BHIND,Kondagaon,Chloro
BHIWANI,Kota,Ciptrole GR
BHOJPUR,Kothputli,Ciptrole SC
BHOPAL,Kurnool,DEVIKA
BHUPALPALLY,Kurukshetra,DOPPELT
BIJNOR,Lucknow,Dart
BIJWAD NARUKA,Ludhiana,Dart Plus
BIKANER,Madanapalli,Dhaal
BILASPUR,Madhepura,Dhoom
BISAULI,Mahesana,DripIT Grapes
BONGAIGAON,Mainpuri,DripIT Pome
BULANDSHAHR,Malda,DripIT Vegetables
BULDHANA DISTRICT,Mandi,Early
BUNDI,Meerut,Festura
BURHANPUR,Miryalaguda,Fipgra
BUXAR,Miryalguda,Fiprid
CHAMARAJANAGAR,Moradabad,Fipro SC
CHAMARAJANAGARA,Motihari,Fipronil
CHAMPA,Muzaffarnagar,Floxy
CHANDAULI,Muzaffarpur,Forza
CHAPPER,Mysore,Ganga
CHAPRA,Nadiad,Gazab
CHATRA,Nagaon,Godavari
CHHATARPUR,Nagpur,Gold
CHHATRAPATI SAMBHAJINAGAR DISTRICT,Nanded,Gomti
CHHINDWARA,Nashik,Gori
CHHOTA UDAIPUR,Nepal,Green Bank
CHHOTAUDAIPUR,Nizamabad,HARSHA
CHIKKABALLAPURA,Ongole,Heena
CHINTAMANI,Palwal,Hopnip
CHIRANG,Patiala,ISO
CHITRADURGA,Patna,Jaivodaya
CHITTORGARH,Pratapgarh,Jhilmil
CHOMU,Prayagraj,Joso
CHURU,Pune,Kamya Gold
COOCH BEHAR,Purnea,Kanchi
DAKSHIN DINAJPUR,Rajkot,Khushboo
DAMOH,Ranchi,Kibush
DARBHANGA,Ratlam,Lali
DARRANG,Rewa,Latika
DATIA,Rewari,MAHARAJA
DAUSA,Sagar,MSM
DEEG,Saharanpur,Magnica
DEOGHAR,Sambhajinagar,Mahak
DEORIA,Sangli,Mancozeb
DEVBHUMI DWARKA,Sangrur,Mariko
DEWAS,Saraipali,Metasy
DHAMTARI,Sawaimadhopur,Metri
DHANPURI,Sehore,Mono
DHANUSHA,Shahjahanpur,Multi soft
DHAR,Shimla,Myro-NXT
DHAULPUR,Shivpuri,NAZMI
DHOLPUR,Sidharth Nagar,Nano
DIDWANA KUCHAMAN,Sikar,No  94
DINAJPUR,Siliguri,NuCrop
DUMRI,Sirsa,PRABHAT
DURG,Solan,Paddy 303
EAST CHAMPARAN,Solapur,PaddyStar
ETAH,Sonipat,Paraquat
ETAWAH,Sriganganagar,Pend-Ultra
FARIDABAD,Surendranagar,Picasol
FARIDKOT,Telangana,Pinocio
FARRUKHABAD,Vadodara,Pooja
FATEHABAD,Varanasi,Pretila
FATEHGARH SAHIB,Vijayapura,Pretilachlor 37
FATEHPUR,Vijayawada,Profen
FAZILKA,Yavatmal,Profen Plus
FEROZEPUR,,Protobuz
FIROZABAD,,Protobuz+
FIROZPUR,,RAGINI
GANDHINAGAR,,Rajkumar Gold
GAYA,,Razor
GHANAUR,,Reprozin
GHAZIPUR,,SAISHO
GIRIDIH,,SALONI
GOALPARA,,SANSANI
GOLAGHAT,,SHOBHA
GONDA,,SOFTGOLD
GONDIYA,,SR-35
GOPALGANJ,,SUGANDHI
GORAKHPUR,,SULEKHA
GUNA,,SUPER 3-SR-72
GUNTUR,,SUPER 7711
GURDASPUR,,SWETA
GURGAON,,Samridhi
GWALIOR,,Sateer
HAMIRPUR,,Selection 200
HANUMANGARH,,Shaasak
HAPUR,,Sheetal
HARDA,,Shera
HARDOI,,Shipra
HARIDWAR,,Shriam Sulphur 80% WDG
HATHRAS,,SprayIT Cereals
HAZARIBAGH,,SprayIT Cotton
HINGOLI,,SprayIT Potato
HISAR,,SprayIT Sugarcane
HOJAI,,SprayIT Vegetables
HOOGHLY,,Sundari
HOSAKOTA,,Super 1-SR-14
HOSHANGABAD,,Super 1-SR-15
HOSHIARPUR,,Super 111
INDORE,,Super 21-SR-31
JABALPUR,,Super 23-SR-31
